c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,obj
0,1,0,0,-0.00691323,-0.00683207,-0.579333,1.05,-640.5,0.20611,0.0465661,1.00E+20
0,0,0,1,-0.00593157,-0.001665,-0.528,-0.6,-3864,-0.446793,-0.280993,-22853000
0,1,0,1,-0.00961967,-0.00608311,-0.398333,86053700,1,31.112,6.69059,1.00E+20
0,1,0,1,-0.00800198,-0.00966288,-0.440667,-0.3,-2060.5,-0.244091,-0.166099,-13688900
0,1,0,1,-0.0083868,-0.0048355,-0.568667,8206370,1,2.06231,0.827504,1.00E+20
0,1,0,1,-0.00975366,-0.00948846,0.031,6.64628E+11,1,248013,44935.8,1.00E+20
0,1,0,1,-0.00478202,-0.00657109,-0.322333,3551590,1,0.32532,0.17046,1.00E+20
0,0,0,1,0.00299592,-0.00718586,-0.218,27918100,1,9.418,1.55961,1.00E+20
0,1,0,1,-0.00946679,-0.00118273,-0.591667,-0.7,-5176.5,-0.507659,-0.341858,-28650400
0,1,0,1,-0.00750677,-0.00443424,-0.424,36941800,1,12.7853,3.45477,1.00E+20
0,1,0,1,-0.00784128,-0.00673588,-0.486667,10931700,1,3.07929,1.3907,1.00E+20
0,1,0,1,-0.00954,-0.00852838,-0.199667,1735900000,1,646.774,118.602,1.00E+20
0,0,0,1,0.00157773,-0.00699181,-0.510333,4152050,1,0.54939,0.408125,1.00E+20
0,1,0,1,-0.0080933,-0.00846389,-0.506333,-0.5,-3062,-0.355431,-0.237568,-19976900
0,1,0,1,-0.00492432,-0.00865904,0.482333,67535700000,1,25200.8,4568.63,1.00E+20
0,1,0,1,-0.00217205,-0.00807787,-0.390333,6430100,1,1.39947,0.642768,1.00E+20
0,1,0,1,0.0153178,-0.00540723,-0.381667,31398700,1,10.7168,3.07887,1.00E+20
1.00E+20,0,0,1,1.00E+20,1.00E+20,1,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20
1.00E+20,0,0,1,1.00E+20,1.00E+20,1,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20
0,1,0,0,-0.010101,-0.010101,-0.574667,1.075,-634,0.18488,0.0502692,1.00E+20
1.00E+20,0,0,1,1.00E+20,1.00E+20,1,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20
1.00E+20,0,0,0,1.00E+20,1.00E+20,1,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20
1.00E+20,0,0,1,1.00E+20,1.00E+20,1,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20
0,1,0,1,0.0025551,-0.00990472,-0.392333,7303170,1,1.72527,0.818602,1.00E+20
1.00E+20,0,0,1,1.00E+20,1.00E+20,1,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20
0,1,0,1,-0.00720259,-0.00770578,-0.39,-0.25,-1872,-0.183238,-0.164783,-12812800
0,1,0,1,-0.00881344,-0.00877105,-0.567,3926520,1,0.46523,0.370109,1.00E+20
0,0,0,0,-0.000268404,-0.00850473,-0.254667,48540800,1,17.1136,2.99795,1.00E+20
0,0,0,0,0.00525674,-0.000423396,-0.511333,1340360,1,-0.499826,-0.148597,1.00E+20
0,1,0,0,-0.00729877,-0.00641002,-0.557667,-0.55,-3455,-0.398967,-0.253593,-21667100
0,1,0,1,-0.00968005,-0.00757165,-0.599,-0.5,-3119,-0.302219,-0.251376,-22137000
0,1,0,0,-0.00654197,-0.00735803,-0.508333,3421570,-178,0.2768,0.137773,1.00E+20
0,1,0,1,-0.00921554,-0.00974026,-0.519667,-0.45,-2681.5,-0.28524,-0.217226,-18655700
0,0,0,1,-0.000768689,-0.00665677,-0.358333,15420100,1,4.75419,0.750104,1.00E+20
0,0,0,1,-0.000217018,-0.00948697,-0.551667,3624050,1,0.35236,0.268049,1.00E+20
0,0,0,1,0.00111679,-0.00458054,-0.335667,3748980,1,0.39898,-0.0175942,1.00E+20
0,0,0,1,-0.00808305,-0.00972951,-0.498667,1.6,-502.5,-0.057682,0.0516413,1.00E+20
0,0,0,1,0.00484259,-0.00865284,-0.531667,1588890,1,-0.407087,-0.160592,1.00E+20
0,1,0,0,-0.00814724,-0.00960852,-0.548,1.575,-507,0.16785,0.0707549,1.00E+20
1.00E+20,0,0,1,1.00E+20,1.00E+20,1,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20
0,0,0,0,-0.00240011,-0.00276549,-0.562,-0.65,-4384.5,-0.532985,-0.359897,-22418600
0,1,0,1,-0.00242288,-0.010101,0.216667,8878680000,1,3312.19,603.068,1.00E+20
0,1,0,1,-0.00979868,-0.00891568,-0.113333,7789020000,1,2905.57,528.179,1.00E+20
0,1,0,1,-0.00771614,-0.00824875,-0.549333,5182810,1,0.93403,0.676925,1.00E+20
1.00E+20,0,0,1,1.00E+20,1.00E+20,1,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20
0,1,0,1,-0.00945143,-0.00783621,-0.554,4883690,1,0.82241,0.38356,1.00E+20
0,1,0,0,-0.010101,-0.00929163,-0.579333,-0.725,-5936.5,-0.530479,-0.388364,-31913200
1.00E+20,0,0,1,1.00E+20,1.00E+20,1,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20
0,1,0,1,-0.00980669,-0.00878846,-0.143667,37679300000,1,14059.5,2548.79,1.00E+20
1.00E+20,0,0,1,1.00E+20,1.00E+20,1,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20
0,1,0,1,-0.00494414,-0.000888362,-0.559,-0.45,-2787.5,-0.421217,-0.269535,-15894800
0,1,0,0,-0.00966269,-0.00647082,-0.535667,-0.625,-4168.5,-0.446207,-0.303832,-25044600
1.00E+20,0,0,1,1.00E+20,1.00E+20,1,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20
0,1,0,1,-0.010101,-0.00994024,-0.492,723189000,1,268.867,49.6298,1.00E+20
0,1,0,1,-0.00904508,-0.00219845,-0.592667,-0.5,-3106.5,-0.28123,-0.263404,-22689600
0,1,0,1,-0.00877193,-0.00761919,-0.518,-0.125,-1557.5,-0.046787,-0.116884,-11098700
0,1,0,0,-0.00988104,-0.010101,-0.530333,-0.1,-1493.5,-0.035407,-0.104342,-10437400
0,1,0,1,-0.00773039,-0.00640101,-0.558667,-0.7,-5074.5,-0.500046,-0.346314,-28437200
0,1,0,0,-0.00921066,-0.00803466,-0.511333,2.6,-284.5,0.20103,0.111742,1.00E+20
0,1,0,1,-0.0044434,-0.00960121,-0.538667,5646550,1,1.10708,0.55278,1.00E+20
0,1,0,0,-0.0091871,-0.00906421,-0.472333,0.4,-999.5,0.10359,-0.043919,-4927210
0,1,0,1,-0.00899125,-0.00682619,-0.515333,2.475,-319,0.25206,0.105416,1.00E+20
0,1,0,0,-0.00915853,-0.00990303,-0.427667,0.925,-700,0.15218,0.00785127,-706781
0,1,0,1,-0.00988737,-0.010101,-0.575667,3743600,1,0.39697,0.3101,1.00E+20
0,1,0,1,-0.00857814,-0.00784174,-0.545333,9867100,1,2.68203,1.13624,1.00E+20
1.00E+20,0,0,1,1.00E+20,1.00E+20,1,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20
1.00E+20,0,0,1,1.00E+20,1.00E+20,1,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20
0,1,0,1,-0.00856435,-0.00871636,0.343667,16611700000,1,6197.85,1125.48,1.00E+20
0,1,0,1,-0.010101,-0.00868729,-0.571333,-0.35,-2242,-0.184671,-0.183519,-16671800
1.00E+20,0,0,1,1.00E+20,1.00E+20,1,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20
1.00E+20,0,0,1,1.00E+20,1.00E+20,1,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20
0,0,0,1,0.00715093,-0.00438777,-0.534667,4758060,1,0.77553,0.182783,1.00E+20
0,1,0,0,-0.00748868,0.00104913,-0.542667,-0.2,-1778.5,0.23615,-0.231861,-17905800
0,0,0,1,0.0122167,-0.00459902,-0.475333,3829750,1,0.42912,0.344665,1.00E+20
1.00E+20,0,0,1,1.00E+20,1.00E+20,1,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20
1.00E+20,0,0,1,1.00E+20,1.00E+20,1,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20
0,1,0,0,-0.00883944,-0.0065054,-0.599333,-0.675,-4717,-0.488148,-0.312392,-26761300
0,1,0,0,-0.00535451,-0.0089137,-0.482667,4966820,1,0.85343,0.603134,1.00E+20
0,1,0,1,-0.00965198,-0.00777537,-0.499,49318700,1,17.4039,4.10256,1.00E+20
0,1,0,0,-0.00917917,-0.00985702,-0.459667,3752870,1,0.40043,0.262119,1.00E+20
1.00E+20,0,0,1,1.00E+20,1.00E+20,1,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20
1.00E+20,0,0,1,1.00E+20,1.00E+20,1,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20
0,1,0,0,-0.00760749,-0.00782344,-0.481667,3337880,-205.5,0.24557,0.123267,1.00E+20
0,1,0,1,-0.00511981,-0.00622665,-0.547,4791510,1,0.78801,0.539278,1.00E+20
0,0,0,1,-0.00409645,-0.00564468,-0.505,-0.45,-2658,-0.460494,-0.247855,-13916000
0,1,0,1,-0.00637112,-0.00727358,-0.439,13953500,1,4.20691,1.55702,1.00E+20
1.00E+20,0,0,1,1.00E+20,1.00E+20,1,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20
0,1,0,1,-0.00987488,-0.00972883,-0.488667,7932550,1,1.96013,1.01212,1.00E+20
0,1,0,0,-0.00897215,-0.00952725,-0.489667,-0.125,-1568,-0.124225,-0.109606,-10315400
0,1,0,1,-0.00987008,-0.00695472,-0.457667,1097960000,1,408.718,75.0075,1.00E+20
0,1,0,1,-0.00986384,-0.010101,-0.419333,22623000,1,7.44204,2.3276,1.00E+20
0,1,0,1,-0.00586625,-0.010101,-0.504333,8782340,1,2.27724,1.22206,1.00E+20
0,1,0,0,-0.0059523,-0.00743935,-0.535667,0.675,-826,0.11327,0.00186053,-2485840
0,1,0,1,-0.010101,-0.010101,-0.578,49836200,1,17.597,3.63471,1.00E+20
0,1,0,1,-0.00743392,-0.00636071,-0.385,54077300,1,19.1796,4.71811,1.00E+20
0,1,0,0,-0.00988854,-0.0083148,-0.584333,-0.7,-5157.5,-0.496818,-0.349092,-29158200
0,1,0,0,-0.0091724,-0.010101,-0.449,0.65,-829.5,0.11181,-0.0141003,-2531470
0,1,0,0,-0.00903998,-0.00268062,-0.585,-0.675,-4911,-0.475682,-0.345795,-28719400
1.00E+20,0,0,1,1.00E+20,1.00E+20,1,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20
0,1,0,1,-0.00221781,-0.0062941,0.364333,20757300000,1,7744.83,1405.55,1.00E+20
0,1,0,1,-0.0090002,-0.010101,-0.527667,5639020,1,1.10427,0.747873,1.00E+20
0,1,0,0,-0.00988495,-0.00951065,-0.558,-0.075,-1466.5,0.01677,-0.107056,-10642900
1.00E+20,0,0,1,1.00E+20,1.00E+20,1,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20
0,1,0,1,-0.010101,0.0146076,-0.608,81942100,1,29.5777,5.22653,1.00E+20
0,0,0,0,-3.20E-05,-0.00202424,-0.456667,4537680,1,0.69329,0.235528,1.00E+20
0,1,0,1,-0.00981988,-0.00998786,-0.197333,112358000,1,40.9277,8.99765,1.00E+20
0,1,0,1,-0.00737039,-0.00807153,-0.475667,-0.275,-1959.5,-0.204494,-0.160933,-13373600
0,1,0,1,-0.00627998,-0.00861644,-0.492333,0.35,-1040.5,0.30593,-0.0682227,-6513670
0,1,0,0,-0.00915323,-0.0097207,-0.419667,0.8,-760.5,0.14185,-0.00569667,-1585450
